stop_id,stop_code,stop_name,stop_lat,stop_lon
1800EH36651,MANDAWDW,Lewis Road,53.48140000000,-2.16059200000
1800EH36661,MANDAWGA,Sunnybank Road,53.48212000000,-2.15847000000
1800EH36671,MANDAWGD,Edge Lane Metrolink Stop,53.48102000000,-2.16512600000
1800EH36691,MANDAWGM,Gransmoor Road,53.47529774352,-2.15826391295
1800EH36701,MANDAWGP,Gransmoor Road,53.47538000000,-2.15749500000
1800EH36711,MANDAWGT,Peel Street,53.47551000000,-2.15531100000
1800EH36721,MANDAWGW,Peel Street,53.47572000000,-2.15487500000
1800EH36731,MANDAWJA,Fairfield Court,53.47609000000,-2.15288800000
1800EH36741,MANDAWJD,Fairfield Court,53.47620000000,-2.15264700000
1800EH36751,MANDAWJG,Gorseyfields,53.47708000000,-2.14745200000
1800EH36761,MANDAWJM,Gorseyfields,53.47725000000,-2.14727200000
1800EH36771,MANDAWJP,Market Street,53.47877000000,-2.14589000000
1800EH36781,MANDAWJT,Ryecroft Hall,53.47765000000,-2.13068400000
1800EH36801,MANDAWJW,Lumb Lane,53.47714000000,-2.13313900000
1800EH36811,MANDAWMA,Kershaw Lane,53.47654000000,-2.13538200000
1800EH36831,MANDAWMD,Audenshaw Trough,53.47438000000,-2.14128100000
1800EH36841,MANDAWMG,Audenshaw Trough,53.47443000000,-2.14170300000
1800EH36851,MANDAWMJ,Ashton Hill Lane,53.47375000000,-2.14462300000
1800EH36861,MANDAWMP,Charles Avenue,53.47337000000,-2.14549600000
1800EH37021,MANDAWMT,Spring Avenue,53.44115000000,-2.06184900000
1800EH37031,MANDAWMW,Alder High School,53.44098000000,-2.05880800000
1800EH37041,MANDAWPA,Alder High School,53.44087000000,-2.05865700000
1800EH37051,MANDAWPD,Green Lane,53.44028000000,-2.05266500000
1800EH37061,MANDAWPG,Green Lane,53.44017000000,-2.05265000000
1800EH37071,MANDAWPJ,Mottram Old Road,53.43991000000,-2.04808800000
1800EH37081,MANDAWPM,Sycamore Cottage,53.43978000000,-2.04843400000
1800EH37091,MANDAWPT,Mottram Old Road,53.44048000000,-2.04330200000
1800EH37101,MANDAWPW,Greenside Cattery,53.44072000000,-2.04122400000
1800EH37111,MANDAWTA,Apple Street,53.44193000000,-2.03396900000
1800EH37121,MANDAWTD,Apple Street,53.44185000000,-2.03482700000
1800EH37131,MANDAWTG,Beaufort Road,53.44794000000,-2.02494000000
1800EH37141,MANDAWTJ,Mottram Junction,53.45715000000,-2.01307800000
1800EH37161,MANDAWTP,Ashworth Lane,53.45078000000,-2.02385800000
1800EH37171,MANDAWTW,Acres Lane,53.48314000000,-2.05065400000
1800EH37181,MANDGADA,Stocks Lane,53.48247000000,-2.04952300000
1800EH37191,MANDGADG,Grey Street,53.48061000000,-2.04760700000
1800EH37201,MANDGADJ,Grey Street,53.48013000000,-2.04680800000
1800EH37211,MANDGADM,Cheetham Park,53.47839000000,-2.04507300000
1800EH37221,MANDGADP,Cheetham Park,53.47795000000,-2.04424400000
1800EH37231,MANDGADT,Bower Fold,53.47602000000,-2.04237400000
1800EH37241,MANDGADW,Bower Fold,53.47611000000,-2.04228400000
1800EH37251,MANDGAGA,Early Bank,53.47452000000,-2.04125700000
1800EH37261,MANDGAGD,Early Bank,53.47430000000,-2.04136300000
1800EH37271,MANDGAGJ,Woodlands Road,53.47344000000,-2.04089500000
1800EH37281,MANDGAGM,Woodlands Road,53.47171000000,-2.04000400000
1800EH37291,MANDGAGP,Woodend Lane,53.47073000000,-2.03513700000
1800EH37301,MANDGAGT,Woodend Lane,53.47056000000,-2.03474600000
1800EH37311,MANDGAGW,Mottram Road,53.46814000000,-2.02930600000
1800EH37321,MANDGAJA,Mottram Road,53.46810000000,-2.02889900000
1800EH37331,MANDGAJD,Waggon & Horses,53.46675000000,-2.02556900000
1800EH37341,MANDGAJG,Waggon & Horses,53.46655000000,-2.02466500000
1800EH37351,MANDGAJM,Roe Cross Hotel,53.46442000000,-2.02016000000
1800EH37361,MANDGAJP,Roe Cross Hotel,53.46343000000,-2.01887900000
1800EH37371,MANDGAJT,Old Road,53.46078000000,-2.01457100000
1800EH37381,MANDGAJW,Old Road,53.45985000000,-2.01359100000
1800EH37391,MANDGAMA,Mottram Junction,53.45818000000,-2.01240100000
1800EH37401,MANDGAMD,John Kennedy Garden,53.45577000000,-2.01536700000
1800EH37411,MANDGAMG,John Kennedy Garden,53.45513000000,-2.01577300000
1800EH37421,MANDGAMJ,Longdale Drive,53.45448000000,-2.01678200000
1800EH37431,MANDGAMP,Longdale Drive,53.45406000000,-2.01726400000
1800EH37441,MANDGAMT,Lowry Grove,53.45253000000,-2.01934100000
1800EH37451,MANDGAMW,Lowry Grove,53.45194000000,-2.01971700000
1800EH37461,MANDGAPA,Mottram Fold,53.45535000000,-2.01244500000
1800EH37471,MANDGAPD,Day Grove,53.45359000000,-2.01489900000
1800EH37481,MANDGAPG,John Kennedy Road,53.45131000000,-2.02044000000
1800EH37491,MANDGAPJ,Garnett Road,53.45132037062,-2.02271389384
1800EH37501,MANDGAPM,Garnett Road,53.45140000000,-2.02226200000
1800EH37511,MANDGAPT,Broadbent Grove,53.44680000000,-2.02430700000
1800EH37521,MANDGAPW,Broadbent Grove,53.44689000000,-2.02471400000
1800EH37531,MANDGATA,Ball Walk,53.44526000000,-2.02379400000
1800EH37541,MANDGATD,Ball Walk,53.44475000000,-2.02390000000
1800EH37551,MANDGATG,Chapman Arms,53.44386000000,-2.02743700000
1800EH37561,MANDGATJ,Chapman Arms,53.44425000000,-2.02814500000
1800EH37571,MANDGATM,Melandra Crescent,53.45132000000,-2.02655300000
1800EH37581,MANDGATP,Thornbury Avenue,53.45132000000,-2.02947500000
1800EH37591,MANDGATW,Thornbury Avenue,53.45141000000,-2.02860100000
1800EH37601,MANDGAWA,Camborne Road,53.45150000000,-2.03104100000
1800EH37611,MANDGAWD,Camborne Road,53.45160000000,-2.03218500000
1800EH37621,MANDGAWG,Honiton Avenue,53.45177000000,-2.03692900000
1800EH37631,MANDGAWJ,Honiton Avenue,53.45166000000,-2.03778700000
1800EH37641,MANDGAWM,Hattersley Road West,53.45173000000,-2.04034700000
1800EH37651,MANDGAWP,Mottram Road,53.45340000000,-2.04048400000
1800EH37661,MANDGAWT,Underwood Road,53.45220000000,-2.04085900000
1800EH37671,MANDGDAD,Underwood Road,53.45142000000,-2.04063200000
1800EH37681,MANDGDAG,Porlock Avenue,53.44980000000,-2.04108300000
